,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
0,construction,8AK,2.0,2.0,0.925,2379.5092926093807
1,construction,8AK,2.0,3.0,0.7964285714285715,1548.733725947463
2,construction,8AK,2.0,4.0,0.6392857142857142,1922.236597853661
3,construction,8AK,2.0,5.0,0.48571428571428565,2651.797209017671
4,construction,8AK,2.0,6.0,0.5071428571428571,2899.441804556681
5,construction,8AK,2.0,7.0,0.4321428571428571,3725.186253611315
6,construction,8AK,2.0,8.0,0.4892857142857142,5258.3931050097
7,construction,8AK,2.0,9.0,0.5642857142857143,6322.350444689337
8,construction,8AK,2.0,10.0,0.46428571428571425,7043.235030462722
9,construction,8AK,2.0,11.0,0.46428571428571425,8214.119616236107
10,construction,8AK,2.0,12.0,0.4392857142857142,9252.352834821992
11,construction,8AK,2.0,13.0,0.3821428571428571,10272.214471376627
12,construction,8AK,2.0,14.0,0.33214285714285713,11187.878842306262
13,construction,8AK,2.0,15.0,0.33571428571428574,12359.005127298395
14,construction,8AK,2.0,16.0,0.3142857142857143,13422.693912290531
15,construction,8AK,2.0,17.0,0.3107142857142857,14594.399298845165
16,construction,8AK,2.0,18.0,0.3107142857142857,15698.260935399801
17,construction,8AK,2.0,19.0,0.3607142857142857,16850.592786798185
0,systems,8AK,2.0,2.0,0.925,1069.1692186091332
1,systems,8AK,2.0,3.0,0.8714285714285713,2111.474158541452
2,systems,8AK,2.0,4.0,0.85,2160.7085418331453
3,systems,8AK,2.0,5.0,0.6714285714285715,2952.293388992027
4,systems,8AK,2.0,6.0,0.75,3820.6467908384075
5,systems,8AK,2.0,7.0,0.6178571428571429,5040.158151669164
6,systems,8AK,2.0,8.0,0.5607142857142857,5814.1909968749205
7,systems,8AK,2.0,9.0,0.6392857142857142,7018.941127236927
8,systems,8AK,2.0,10.0,0.5928571428571429,8216.315769317684
9,systems,8AK,2.0,11.0,0.5678571428571428,9563.39011842969
10,systems,8AK,2.0,12.0,0.46428571428571425,10552.990834729197
11,systems,8AK,2.0,13.0,0.46785714285714286,11814.249754153701
12,systems,8AK,2.0,14.0,0.41785714285714287,13129.82215014071
13,systems,8AK,2.0,15.0,0.4392857142857142,14478.864760971464
14,systems,8AK,2.0,16.0,0.3821428571428571,15844.364891333473
15,systems,8AK,2.0,17.0,0.3107142857142857,17055.681916226727
16,systems,8AK,2.0,18.0,0.3607142857142857,18420.927163776232
17,systems,8AK,2.0,19.0,0.36428571428571427,19726.37944257574
0,energy_loads,8AK,2.0,2.0,0.7678571428571429,542.2160677745186
1,energy_loads,8AK,2.0,3.0,0.6142857142857142,362.8402086567178
2,energy_loads,8AK,2.0,4.0,0.46428571428571425,392.1055391141122
3,energy_loads,8AK,2.0,5.0,0.5607142857142857,399.59973233395783
4,energy_loads,8AK,2.0,6.0,0.4892857142857142,393.19878395224094
5,energy_loads,8AK,2.0,7.0,0.33214285714285713,291.9345505058268
6,energy_loads,8AK,2.0,8.0,0.48571428571428565,436.6595519837291
7,energy_loads,8AK,2.0,9.0,0.5107142857142857,480.03451684053755
8,energy_loads,8AK,2.0,10.0,0.5142857142857142,497.37182300593986
9,energy_loads,8AK,2.0,11.0,0.2785714285714286,387.29669936177174
10,energy_loads,8AK,2.0,12.0,0.2571428571428571,404.67177103010374
11,energy_loads,8AK,2.0,13.0,0.28214285714285714,435.50829899726375
12,energy_loads,8AK,2.0,14.0,0.28214285714285714,480.6284573355176
13,energy_loads,8AK,2.0,15.0,0.33571428571428574,524.2345165526776
14,energy_loads,8AK,2.0,16.0,0.17857142857142855,586.9406734260879
15,energy_loads,8AK,2.0,17.0,0.15357142857142855,613.1286418229354
16,energy_loads,8AK,2.0,18.0,0.20357142857142857,675.9792689111891
17,energy_loads,8AK,2.0,19.0,0.22857142857142856,708.3837290072554
0,construction,8AK,3.0,2.0,1.0,16.06338314369259
1,construction,8AK,3.0,3.0,0.9,433.0708911878173
2,construction,8AK,3.0,4.0,0.7,927.7152400522546
0,systems,8AK,3.0,2.0,0.9,173.33929101593344
1,systems,8AK,3.0,3.0,0.8,680.4435542657097
2,systems,8AK,3.0,4.0,0.8,1350.5082667342363
0,energy_loads,8AK,3.0,2.0,0.6,96.3450926545375
1,energy_loads,8AK,3.0,3.0,0.7,55.87380115625584
2,energy_loads,8AK,3.0,4.0,0.4,65.82128879272457
0,construction,8AK,6.0,2.0,0.7763636363636364,2289.5666044833533
1,construction,8AK,6.0,3.0,0.8127272727272727,2393.8949816340546
2,construction,8AK,6.0,4.0,0.6090909090909091,2286.225525532802
3,construction,8AK,6.0,5.0,0.5363636363636364,2723.7727442362375
4,construction,8AK,6.0,6.0,0.4836363636363637,3168.787492236548
5,construction,8AK,6.0,7.0,0.5563636363636364,3919.795404299359
6,construction,8AK,6.0,8.0,0.5018181818181818,5302.852632768419
7,construction,8AK,6.0,9.0,0.4418181818181818,5961.135935456228
8,construction,8AK,6.0,10.0,0.4890909090909091,7219.835742050289
9,construction,8AK,6.0,11.0,0.4454545454545455,8416.33144708185
10,construction,8AK,6.0,12.0,0.44727272727272727,9759.453616957158
11,construction,8AK,6.0,13.0,0.3745454545454546,10995.577739957469
12,construction,8AK,6.0,14.0,0.35454545454545455,12189.54658952028
13,construction,8AK,6.0,15.0,0.41090909090909095,13358.98077111434
14,construction,8AK,6.0,16.0,0.3727272727272727,14687.258214427151
15,construction,8AK,6.0,17.0,0.3145454545454546,16015.192884302462
16,construction,8AK,6.0,18.0,0.3545454545454546,17362.045522927772
17,construction,8AK,6.0,19.0,0.35454545454545455,18743.386931084333
18,construction,8AK,6.0,20.0,0.3563636363636363,20086.689765022144
0,systems,8AK,6.0,2.0,0.9454545454545455,-246.6218308746902
1,systems,8AK,6.0,3.0,0.7054545454545454,126.02219492999666
2,systems,8AK,6.0,4.0,0.7018181818181819,1453.1715918284335
3,systems,8AK,6.0,5.0,0.7763636363636364,3035.1432543518713
4,systems,8AK,6.0,6.0,0.6654545454545455,4617.966479375307
5,systems,8AK,6.0,7.0,0.6472727272727273,6492.953278617495
6,systems,8AK,6.0,8.0,0.5909090909090908,8094.033339578433
7,systems,8AK,6.0,9.0,0.5545454545454545,10126.420041164369
8,systems,8AK,6.0,10.0,0.650909090909091,11805.883891187805
9,systems,8AK,6.0,11.0,0.5745454545454545,13707.13680371124
10,systems,8AK,6.0,12.0,0.5763636363636364,15759.55084904718
11,systems,8AK,6.0,13.0,0.5418181818181818,17668.860402195616
12,systems,8AK,6.0,14.0,0.5927272727272727,19606.918002219052
13,systems,8AK,6.0,15.0,0.4418181818181818,21388.06642255499
14,systems,8AK,6.0,16.0,0.4763636363636364,23455.172850703428
15,systems,8AK,6.0,17.0,0.45999999999999996,25542.187481976864
16,systems,8AK,6.0,18.0,0.44000000000000006,27559.2050429378
17,systems,8AK,6.0,19.0,0.40545454545454546,29456.671822648736
18,systems,8AK,6.0,20.0,0.40545454545454546,31461.79192267217
0,energy_loads,8AK,6.0,2.0,0.9636363636363636,655.3835509872603
1,energy_loads,8AK,6.0,3.0,0.9454545454545455,551.0029544905007
2,energy_loads,8AK,6.0,4.0,0.5018181818181817,527.861844688077
3,energy_loads,8AK,6.0,5.0,0.649090909090909,543.4323742899502
4,energy_loads,8AK,6.0,6.0,0.5763636363636364,540.1746453774191
5,energy_loads,8AK,6.0,7.0,0.5599999999999999,603.2400632849564
6,energy_loads,8AK,6.0,8.0,0.29454545454545455,505.90305733385105
7,energy_loads,8AK,6.0,9.0,0.29636363636363633,553.7554778048649
8,energy_loads,8AK,6.0,10.0,0.35454545454545455,533.375552694824
9,energy_loads,8AK,6.0,11.0,0.3327272727272727,597.3419410613457
10,energy_loads,8AK,6.0,12.0,0.3327272727272727,647.593668783336
11,energy_loads,8AK,6.0,13.0,0.33272727272727276,554.4839463100138
12,energy_loads,8AK,6.0,14.0,0.33636363636363636,586.9166127527074
13,energy_loads,8AK,6.0,15.0,0.27999999999999997,634.9996087852446
14,energy_loads,8AK,6.0,16.0,0.2781818181818182,622.4484495443444
15,energy_loads,8AK,6.0,17.0,0.2781818181818182,679.2641115925067
16,energy_loads,8AK,6.0,18.0,0.26,745.3441779375439
17,energy_loads,8AK,6.0,19.0,0.18545454545454546,773.8204845169562
18,energy_loads,8AK,6.0,20.0,0.1890909090909091,814.3592910963685
